Título;Gênero;Rótulos de gênero;Estreia;Temporadas;Temporadas analisadas;Episódios analisados;Comprimento;Comprimento mínimo;Comprimento máximo;Status;Ativo;Tabela;Idioma;Data Inclusão;Data de Alteração
Dance & Sing with True;chrildrens musical short;chrildrens,musical,short;2018-05-18T00:00:00.000-03:00;1 season, 11 episodes;1;11;2 min.;2;2;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.649-03:00
Super Monsters Monster Party;chrildrens musical short;chrildrens,musical,short;2018-09-14T00:00:00.000-03:00;1 season, 4 episodes;1;4;2 min.;2;2;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.222-03:00
True Tunes;chrildrens musical short;chrildrens,musical,short;2019-07-12T00:00:00.000-03:00;a ser anunciado;0;0;TBA;0;0;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.826-03:00
Harvey Girls Forever!;childrens-animation;childrens-animation;2018-06-29T00:00:00.000-03:00;2 seasons, 26 episodes;2;26;24 min.;24;24;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.667-03:00
Llama Llama;childrens-animation;childrens-animation;2018-01-26T00:00:00.000-02:00;1 season, 15 episodes;1;15;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.765-03:00
True and the Rainbow Kingdom;childrens-animation;childrens-animation;2017-08-11T00:00:00.000-03:00;2 seasons, 14 episodes;2;14;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.340-03:00
Stretch Armstrong and the Flex Fighters;childrens-animation;childrens-animation;2017-11-17T00:00:00.000-02:00;2 seasons, 23 episodes;2;23;23 min.;23;23;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.255-03:00
Ask the StoryBots;childrens-animation;childrens-animation;2016-08-12T00:00:00.000-03:00;2 seasons, 14 episodes;2;14;20–28 min.;20;28;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.217-03:00
3Below: Tales of Arcadia;childrens-animation;childrens-animation;2018-12-21T00:00:00.000-02:00;1 part, 13 episodes;0;13;23–24 min.;23;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.397-03:00
The Dragon Prince;childrens-animation;childrens-animation;2018-09-14T00:00:00.000-03:00;2 seasons, 18 episodes;2;18;25–27 min.;25;27;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.368-03:00
Cupcake & Dino: General Services;childrens-animation;childrens-animation;2018-07-27T00:00:00.000-03:00;2 seasons, 26 episodes;2;26;22–23 min.;22;23;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.494-03:00
Kulipari: Dream Walker;childrens-animation;childrens-animation;2018-11-20T00:00:00.000-02:00;1 season, 10 episodes;1;10;23 min.;23;23;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.327-03:00
The Hollow;childrens-animation;childrens-animation;2018-06-08T00:00:00.000-03:00;1 season, 10 episodes;1;10;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.794-03:00
Trolls: The Beat Goes On!;childrens-animation;childrens-animation;2018-01-19T00:00:00.000-02:00;6 seasons, 38 episodes;6;38;24–25 min.;24;25;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.899-03:00
Legend Quest;childrens-animation;childrens-animation;2017-02-24T00:00:00.000-03:00;1 season, 13 episodes;1;13;22 min.;22;22;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.485-03:00
Hilda;childrens-animation;childrens-animation;2018-09-21T00:00:00.000-03:00;1 season, 13 episodes;1;13;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.825-03:00
Super Monsters Monster Pets;childrens-animation;childrens-animation;2019-06-07T00:00:00.000-03:00;1 season, 5 episodes;1;5;9–12 min.;9;12;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.826-03:00
The Epic Tales of Captain Underpants;childrens-animation;childrens-animation;2018-07-13T00:00:00.000-03:00;2 seasons, 26 episodes;2;26;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.029-03:00
Charlie's Colorforms City;childrens-animation;childrens-animation;2019-03-22T00:00:00.000-03:00;1 season, 13 episodes;1;13;25 min.;25;25;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.274-03:00
Word Party;childrens-animation;childrens-animation;2016-07-08T00:00:00.000-03:00;3 seasons, 40 episodes;3;40;13 min.;13;13;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.470-03:00
Larva Island;childrens-animation;childrens-animation;2018-10-19T00:00:00.000-03:00;2 seasons, 26 episodes;2;26;8 min.;8;8;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.640-03:00
Super Monsters;childrens-animation;childrens-animation;2017-10-13T00:00:00.000-03:00;2 seasons, 16 episodes;2;16;22–23 min.;22;23;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.126-03:00
Spirit Riding Free;childrens-animation;childrens-animation;2017-05-05T00:00:00.000-03:00;8 seasons, 52 episodes;8;52;23 min.;23;23;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.400-03:00
Spy Kids: Mission Critical;childrens-animation;childrens-animation;2018-04-20T00:00:00.000-03:00;2 seasons, 20 episodes;2;20;23–25 min.;23;23;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.671-03:00
Motown Magic;childrens-animation;childrens-animation;2018-11-20T00:00:00.000-02:00;1 season, 25 episodes;1;25;15–26 min.;15;26;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.618-03:00
Mighty Little Bheem;childrens-animation;childrens-animation;2019-04-12T00:00:00.000-03:00;1 season, 21 episodes;1;21;6–7 min.;6;7;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.306-03:00
YooHoo to the Rescue;childrens-animation;childrens-animation;2019-03-15T00:00:00.000-03:00;1 season, 26 episodes;1;26;13–14 min.;13;14;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.534-03:00
Pinky Malinky;childrens-animation;childrens-animation;2019-01-01T00:00:00.000-02:00;2 parts, 44 episodes;0;44;12–23 min.;12;23;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.595-03:00
The Boss Baby: Back in Business;childrens-animation;childrens-animation;2018-04-06T00:00:00.000-03:00;2 seasons, 26 episodes;2;26;24 min.;24;24;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.646-03:00
She-Ra and the Princesses of Power;childrens-animation;childrens-animation;2018-11-13T00:00:00.000-02:00;2 seasons, 20 episodes;2;20;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.648-03:00
Carmen Sandiego;childrens-animation;childrens-animation;2019-01-18T00:00:00.000-02:00;1 season, 9 episodes;1;9;23–33 min.;23;33;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.650-03:00
Black Summer;Zombie drama;zombie,drama;2019-04-11T00:00:00.000-03:00;1 season, 8 episodes;1;8;21–45 min.;21;45;Pending;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.071-03:00
The Alcàsser Murders;True crime;true,crime;2019-06-14T00:00:00.000-03:00;1 season, 5 episodes;1;5;53–66 min.;53;66;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.307-03:00
Murder Mountain;True crime;true,crime;2018-12-28T00:00:00.000-02:00;1 season, 6 episodes;1;6;43 min.;0;0;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.590-03:00
Examination of Conscience;True crime;true,crime;2019-01-25T00:00:00.000-02:00;1 season, 3 episodes;1;3;51–54 min.;51;54;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.570-03:00
Exhibit A;True crime;true,crime;2019-06-28T00:00:00.000-03:00;a ser anunciado;0;0;TBA;0;0;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.826-03:00
The Confession Tapes;True crime;true,crime;2017-09-08T00:00:00.000-03:00;2 seasons, 11 episodes;2;11;41–54 min.;41;54;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.275-03:00
FightWorld;Travel documentary;travel,documentary;2018-10-12T00:00:00.000-03:00;1 season, 5 episodes;1;5;41–44 min.;41;44;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.537-03:00
Dark Tourist;Travel documentary;travel,documentary;2018-07-20T00:00:00.000-03:00;1 season, 8 episodes;1;8;39–42 min.;39;42;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.941-03:00
Ugly Delicious;Travel documentary;travel,documentary;2018-02-23T00:00:00.000-03:00;1 season, 8 episodes;1;8;46–55 min.;46;55;Renewed;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.901-03:00
Jack Whitehall: Travels with My Father;Travel documentary;travel,documentary;2017-09-22T00:00:00.000-03:00;2 seasons, 11 episodes;2;11;28–32 min.;28;32;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.471-03:00
Somebody Feed Phil;Travel documentary;travel,documentary;2018-01-12T00:00:00.000-02:00;2 seasons, 12 episodes;2;12;55–63 min.;55;63;Renewed;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.613-03:00
The Chosen One;Thriller drama;thriller,drama;2019-06-28T00:00:00.000-03:00;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Portuguese;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.020-03:00
Shadow;Thriller;thriller;2019-03-08T00:00:00.000-03:00;1 season, 8 episodes;1;8;40–49 min.;40;49;Pending;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.106-03:00
13 Reasons Why;Teen drama/mystery;teen,drama,mystery;2017-03-31T00:00:00.000-03:00;2 seasons, 26 episodes;2;26;49–70 min.;49;70;Renewed;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.104-03:00
Free Rein;Teen drama;teen,drama;2017-06-22T00:00:00.000-03:00;2 seasons, 20 episodes;2;20;25–34 min.;25;34;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.313-03:00
Norm Macdonald Has a Show;Talk show;talk,show;2018-09-14T00:00:00.000-03:00;1 season, 10 episodes;1;10;26–35 min.;26;35;Pending;1;VarietyTalk;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.769-03:00
Patriot Act with Hasan Minhaj;Talk show;talk,show;2018-10-28T00:00:00.000-03:00;3 volumes, 19 episodes;0;19;23–30 min.;23;30;Renewed;1;VarietyTalk;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.734-03:00
B: The Beginning;Suspense;suspense;2018-03-02T00:00:00.000-03:00;1 season, 12 episodes;1;12;25–27 min.;25;27;Renewed;1;Anime;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.690-03:00
The Protector;Supernatural mystery;supernatural,mystery;2018-12-14T00:00:00.000-02:00;2 seasons, 18 episodes;2;18;31–51 min.;31;51;Renewed;1;ForeignLanguage;Turkish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.539-03:00
Always a Witch;Supernatural drama;supernatural,drama;2019-02-01T00:00:00.000-02:00;1 season, 10 episodes;1;10;39–43 min.;39;43;Renewed;1;ForeignLanguage;Spanish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.128-03:00
Tidelands;Supernatural crime drama;supernatural,crime,drama;2018-12-14T00:00:00.000-02:00;1 season, 8 episodes;1;8;36–48 min.;36;48;Pending;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.232-03:00
Chilling Adventures of Sabrina;Supernatural coming-of-age horror;supernatural,coming-of-age,horror;2018-10-26T00:00:00.000-03:00;2 parts, 20 episodes;0;20;50–64 min.;50;64;Renewed;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.169-03:00
The Order;Supernatural horror drama;supernatural,horror,drama;2019-03-07T00:00:00.000-03:00;1 season, 10 episodes;1;10;42–51 min.;42;51;Renewed;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.474-03:00
Sword Gai: The Animation;Supernatural;supernatural;2018-03-23T00:00:00.000-03:00;2 seasons, 24 episodes;2;24;22–23 min.;22;23;Pending;1;Anime;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.525-03:00
The Umbrella Academy;Superhero action;superhero,action;2019-02-15T00:00:00.000-02:00;1 season, 10 episodes;1;10;45–60 min.;45;60;Renewed;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.199-03:00
Rilakkuma and Kaoru;Stop motion slice of life;stop,motion,slice,of,life;2019-04-19T00:00:00.000-03:00;1 season, 13 episodes;1;13;11–14 min.;11;14;Pending;1;Anime;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.829-03:00
1983;Spy thriller;spy,thriller;2018-11-30T00:00:00.000-02:00;1 season, 8 episodes;1;8;50–63 min.;50;63;Renewed;1;ForeignLanguage;Polish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.305-03:00
Losers;Sport;sport;2019-03-01T00:00:00.000-03:00;1 collection, 8 episodes;0;8;25–37 min.;25;37;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.790-03:00
Cricket Fever: Mumbai Indians;Sport;sport;2019-03-01T00:00:00.000-03:00;1 season, 8 episodes;1;8;33–44 min.;33;44;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.220-03:00
Formula 1: Drive to Survive;Sport;sport;2019-03-08T00:00:00.000-03:00;1 season, 10 episodes;1;10;27–41 min.;27;41;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.872-03:00
Sunderland 'Til I Die;Sport;sport;2018-12-14T00:00:00.000-02:00;1 season, 8 episodes;1;8;37–46 min.;37;46;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.226-03:00
First Team: Juventus;Sport;sport;2018-02-16T00:00:00.000-02:00;2 parts, 6 episodes;0;6;37–42 min.;37;42;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.959-03:00
Last Chance U;Sport;sport;2016-07-29T00:00:00.000-03:00;3 parts, 23 episodes;0;23;50–76 min.;50;76;Renewed;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.517-03:00
Made In Mexico;Spanish language reality series;spanish,language,reality,series;2018-09-28T00:00:00.000-03:00;1 season, 8 episodes;1;8;45–54 min.;45;54;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.239-03:00
What/If;Social thriller anthology;social,thriller,anthology;2019-05-24T00:00:00.000-03:00;1 part, 10 episodes;0;10;44–58 min.;44;58;Pending;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.490-03:00
I Think You Should Leave with Tim Robinson;Sketch comedy;sketch,comedy;2019-04-23T00:00:00.000-03:00;1 season, 6 episodes;1;6;16–18 min.;16;18;Renewed;1;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.867-03:00
Fuller House;Sitcom;sitcom;2016-02-26T00:00:00.000-03:00;4 seasons, 57 episodes;4;57;24–36 min.;24;36;Renewed;1;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.711-03:00
No Good Nick;Sitcom;sitcom;2019-04-15T00:00:00.000-03:00;1 part, 10 episodes;0;10;26–32 min.;26;32;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.405-03:00
The Ranch;Sitcom;sitcom;2016-04-01T00:00:00.000-03:00;6 parts, 60 episodes;0;60;25–36 min.;25;36;Renewed;1;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.323-03:00
Alexa & Katie;Sitcom;sitcom;2018-03-23T00:00:00.000-03:00;2 seasons, 23 episodes;2;23;22–30 min.;22;30;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.684-03:00
Prince of Peoria;Sitcom;sitcom;2018-11-16T00:00:00.000-02:00;2 parts, 16 episodes;0;16;24–28 min.;24;28;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.706-03:00
F Is for Family;Sitcom;sitcom;2015-12-18T00:00:00.000-02:00;3 seasons, 26 episodes;3;26;25–28 min.;25;28;Renewed;1;Animation;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.396-03:00
Another Life;Science-fiction;science-fiction;2019-07-25T00:00:00.000-03:00;a ser anunciado;0;0;TBA;0;0;Pending;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.419-03:00
Greenhouse Academy;Science fiction/teen drama;science-fiction,teen,drama;2017-09-08T00:00:00.000-03:00;2 seasons, 24 episodes;2;24;21–28 min.;21;28;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.115-03:00
Stranger Things;Science fiction/horror;science-fiction,horror;2016-07-15T00:00:00.000-03:00;2 seasons, 17 episodes;2;17;42–62 min.;42;62;Renewed;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.981-03:00
Osmosis;Science fiction/drama;science-fiction,drama;2019-03-29T00:00:00.000-03:00;1 season, 8 episodes;1;8;41–45 min.;41;45;Pending;1;ForeignLanguage;French;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.720-03:00
0.03;Science fiction;science-fiction;2016-11-25T00:00:00.000-02:00;3 seasons, 26 episodes;3;26;38–51 min.;38;51;Pending;1;ForeignLanguage;Portuguese;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.960-03:00
Altered Carbon;Science fiction;science-fiction;2018-02-02T00:00:00.000-02:00;1 season, 10 episodes;1;10;46–66 min.;46;66;Renewed;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.791-03:00
Dark;Science fiction;science-fiction;2017-12-01T00:00:00.000-02:00;2 seasons, 18 episodes;2;18;45–61 min.;45;61;Renewed;1;ForeignLanguage;German;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.912-03:00
7 Seeds;Science fiction;science-fiction;2019-06-28T00:00:00.000-03:00;a ser anunciado;0;0;TBA;0;0;Pending;1;Anime;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.259-03:00
Ultraman;Science fiction;science-fiction;2019-04-01T00:00:00.000-03:00;1 season, 13 episodes;1;13;23–25 min.;23;25;Renewed;1;Anime;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.800-03:00
Lost in Space;Science fiction;science-fiction;2018-04-13T00:00:00.000-03:00;1 season, 10 episodes;1;10;48–66 min.;48;66;Renewed;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.024-03:00
Dear White People;Satire/Drama;satire,drama;2017-04-28T00:00:00.000-03:00;2 volumes, 20 episodes;0;20;21–36 min.;21;36;Renewed;1;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.560-03:00
The Hook Up Plan;Romantic comedy;romantic,comedy;2018-12-07T00:00:00.000-02:00;1 season, 8 episodes;1;8;24–29 min.;24;29;Renewed;1;ForeignLanguage;French;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.114-03:00
My First First Love;Romantic comedy;romantic,comedy;2019-04-18T00:00:00.000-03:00;1 season, 8 episodes;1;8;46–56 min.;46;56;Renewed;1;ForeignLanguage;Korean;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.071-03:00
Love Alarm;Romantic comedy;romantic,comedy;2019-08-22T00:00:00.000-03:00;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Korean;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.220-03:00
Flinch;Reality television/game show;reality,television,game,show;2019-05-03T00:00:00.000-03:00;1 season, 10 episodes;1;10;20–25 min.;20;25;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.871-03:00
Awake: The Million Dollar Game;Reality television;reality,television;2019-06-14T00:00:00.000-03:00;1 season, 8 episodes;1;8;35–41 min.;35;41;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.269-03:00
Jailbirds;Reality television;reality,television;2019-05-10T00:00:00.000-03:00;1 season, 10 episodes;1;10;37–47 min.;37;47;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.249-03:00
Tidying Up with Marie Kondo;Reality show;reality,show;2019-01-01T00:00:00.000-02:00;1 season, 8 episodes;1;8;35–47 min.;35;47;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.072-03:00
Nailed It! Holiday;Reality competition;reality,competition;2018-12-07T00:00:00.000-02:00;1 season, 7 episodes;1;7;33–35 min.;33;35;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.828-03:00
Amazing Interiors;Reality;reality;2018-07-20T00:00:00.000-03:00;1 season, 12 episodes;1;12;21–28 min.;21;28;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.555-03:00
Death by Magic;Reality;reality;2018-11-30T00:00:00.000-02:00;1 season, 8 episodes;1;8;31–39 min.;31;39;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.364-03:00
Stay Here;Reality;reality;2018-08-17T00:00:00.000-03:00;1 season, 8 episodes;1;8;31–33 min.;31;33;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.512-03:00
Dating Around;Reality;reality;2019-02-14T00:00:00.000-02:00;1 season, 6 episodes;1;6;24–30 min.;24;30;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.733-03:00
First and Last;Reality;reality;2018-09-07T00:00:00.000-03:00;1 season, 6 episodes;1;6;38–43 min.;38;43;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.033-03:00
Selling Sunset;Reality;reality;2019-03-22T00:00:00.000-03:00;1 season, 8 episodes;1;8;28–42 min.;28;42;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.903-03:00
Nailed It! Mexico;Reality;reality;2019-02-08T00:00:00.000-02:00;1 season, 6 episodes;1;6;32–34 min.;32;34;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.329-03:00
Battlefish;Reality;reality;2018-09-21T00:00:00.000-03:00;1 season, 8 episodes;1;8;38–46 min.;38;46;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.836-03:00
Magic for Humans;Reality;reality;2018-08-17T00:00:00.000-03:00;1 season, 6 episodes;1;6;22–25 min.;22;25;Renewed;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.777-03:00
The Rain;Post-apocalyptic drama;post-apocalyptic,drama;2018-05-04T00:00:00.000-03:00;2 seasons, 14 episodes;2;14;36–49 min.;36;49;Renewed;1;ForeignLanguage;Danish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.440-03:00
Ingobernable;Political drama;political,drama;2017-03-24T00:00:00.000-03:00;2 seasons, 27 episodes;2;27;32–50 min.;32;50;Pending;1;ForeignLanguage;Spanish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.673-03:00
Delhi Crime;Police procedural;police,procedural;2019-03-22T00:00:00.000-03:00;1 season, 7 episodes;1;7;45–64 min.;45;64;Pending;1;ForeignLanguage;Hindi;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.243-03:00
Most Beautiful Thing;Period drama;period,drama;2019-03-22T00:00:00.000-03:00;1 season, 7 episodes;1;7;35–56 min.;35;56;Renewed;1;ForeignLanguage;Portuguese;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.620-03:00
Cable Girls;Period drama;period,drama;2017-04-28T00:00:00.000-03:00;3 seasons, 24 episodes;3;24;41–63 min.;41;63;Renewed;1;ForeignLanguage;Spanish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.358-03:00
The Fix;Panel show;panel,show;2018-12-14T00:00:00.000-02:00;1 season, 10 episodes;1;10;23–31 min.;23;31;Pending;1;VarietyTalk;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.565-03:00
72 Dangerous Animals: Asia;Nature;nature;2018-08-10T00:00:00.000-03:00;1 season, 12 episodes;1;12;44–48 min.;44;48;Pending;1;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.663-03:00
High Seas;Mystery period drama;mystery,period,drama;2019-05-24T00:00:00.000-03:00;1 season, 8 episodes;1;8;39–49 min.;39;49;Renewed;1;ForeignLanguage;Spanish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.152-03:00
The Society;Mystery drama;mystery,drama;2019-05-10T00:00:00.000-03:00;1 season, 10 episodes;1;10;49–61 min.;49;61;Pending;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.264-03:00
The OA;Mystery;mystery;2016-12-16T00:00:00.000-02:00;2 parts, 16 episodes;0;16;31–71 min.;31;71;Pending;1;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.031-03:00
Go! Live Your Way;Musical;musical;2019-02-22T00:00:00.000-03:00;2 seasons, 30 episodes;2;30;36–44 min.;36;44;Pending;1;ForeignLanguage;Spanish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.578-03:00
Westside;Music;music;2018-11-09T00:00:00.000-02:00;1 season, 8 episodes;1;8;46–58 min.;46;58;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.247-03:00
Fastest Car;Motoring television series;motoring,television,series;2018-04-06T00:00:00.000-03:00;1 season, 8 episodes;1;8;43–52 min.;43;52;Renewed;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.310-03:00
Car Masters: Rust to Riches;Motoring television series;motoring,television,series;2018-09-14T00:00:00.000-03:00;1 season, 8 episodes;1;8;31–40 min.;31;40;Pending;1;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.401-03:00
Trailer Park Boys: The Animated Series;Mockumentary;mockumentary;2019-03-31T00:00:00.000-03:00;1 season, 10 episodes;1;10;24–25 min.;24;25;Pending;1;Animation;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.668-03:00
